Model,line 1,line 2
bench01,overall dimensions,"57""w X 20""h X 10""d"
bench02,overall dimensions,"35""w X 24""h X 8""d"
bench03,overall dimensions,"36""w X 32""h X 12""d"
bench04,overall dimensions,"48""w X 16""h X 14""d"
bench05,overall dimensions,"54""w X 18""h X 14""d"
bench06,overall dimensions,"37""w X 18""h X 14""d"
bench07,overall dimensions,"50""w X 44""h X 22""d"
bench08,overall dimensions,"48""w X 15""h X 10""d"
bench09,overall dimensions,"72""w X 28""h X 44""d"
bench10,overall dimensions,"72""w X 28""h X 44""d"
bench11,overall dimensions,"72""w X 36""h X 31""d"
bench12,overall dimensions,"36""w X 30""h X 18""d"
bronze_16x24,,"16""w X 24""h"
bronze_24x10,,"24""w X 10""h"
bronze_24x12,,"24""w X 12""h"
bronze_24x14,,"24""w X 14""h"
bronze_24x30,,"24""w X 30""h"
bronze_36x13,,"36""w X 13""h"
bronze_44x14 ,,"44""w X 14""h"
cross01,"Top 30""w X 24""h X 6""d","Base 36""w X 6""h X 12""d"
cross01D,"Top 48""w X 30""h X 6""d","Base 66""w X 6""h X 12""d"
cross02,"Top 24""w X 30""h X 6""d","Base 36""w X 6""h X 12""d"
cross03,"Top 26""w X 26""h X 6""d","Base 36""w X 6""h X 12""d"
cross03D,"Top 48""w X 30""h X 8""d","Base 66""w X 8""h X 12""d"
cross04,"Top 32""w X 24""h X 6""d","Base 36""w X 6""h X 12""d"
cross05,"Top 22""w X 42""h X 6""d","Base 36""w X 6""h X 12""d"
cross06,"Top 24""w X 46""h X 6""d","Base 36""w X 6""h X 12""d"
cross07,"Top 20""w X 38""h X 6""d","Base 36""w X 6""h X 12""d"
cross08,"Top 20""w X 38""h X 6""d","Base  36""w X 6""h X 12""d"
cross09,"Top 48""w X 28""h X 6""d","Base 66""w X 8""h X 12""d"
cross10,"Top 48""w X 34""h X 8""d","Base 66""w X 20""h X 24""d"
cross11,"Top 24""w X 30""h X 6""d","Base  36""w X 6""h X 12""d"
cross11D,"Top 60""w X 36""h X 6""d","Base 84""w X 6""h X 12""d"
cross12,"Top 48""w X 30""h X 8""d","Base 66""w X 8""h X 12""d"
cross13,"Top 60""w X 40""h X 6""d","Base 66""w X 8""h X 12""d"
cross14,"Top 60""w X 72""h X 8""d","Base 72""w X 8""h X 12""d"
heart01,"Top 30""w X 24""h X 6""d","Base 36""w X 6""h X 12""d"
heart02,"Top 24""w X 30""h X 6""d","Base 36""w X 6""h X 12""d"
heart03,"Top 30""w X 28""h X 6""d","Base 36""w X 6""h X 12""d"
heart04,"Top 24""w X 30""h X 6""d","Base 36""w X 6""h X 12""d"
heart05,"Top 30""w X 48""h X 6""d","Base 48""w X 6""h X 12""d"
heart06,"Top 30""w X 30""h X 8""d","Base 36""w X 8""h X 14""d"
heart07,"Top 32""w X 34""h X 8""d","Base 36""w X 8""h X 12""d"
heart08,"Top 30""w X 36""h X 8""d","Base 36""w X 8""h X 12""d"
heart09,"Top 48""w X 30""h X 6""d","Base 36""w X 6""h X 12""d"
heart10,"Top 36""w X 48""h X 6""d","Base 48""w X 6""h X 12""d"
heart11,"Top 66""w X 30""h X 6""d","Base 72""w X 6""h X 12""d"
heart12,"Top 42""w X 30""h X 6""d","Base 60""w X 6""h X 12""d"
heart13,"Top 55""w X 32""h X 8""d","Base 66""w X 8""h X 12""d"
heart14,"Top 24""w X 24""h X 8""d","Base 36""w X 12""h X 12""d"
heart15,"Top 36""w X 39""h X 8""d","Base 48""w X 8""h X 14""d"
